"task_id","run_tag","n","obs_count","obs_count_mode","y_mode","score_dist","x_noise_dist","method","n_reps","n_success","mean_pred_mse","sd_pred_mse","u_min","u_q25","u_median","u_q75","u_max","mean_runtime_seconds","total_runtime_seconds"
1,"n_100_obs_10_obsmode_fixed_ymode_flr_linear_score_gaussian_xnoise_gaussian_method_embedding",100,10,"fixed","flr_linear","gaussian","gaussian","embedding",500,500,0.350497146267052,0.0394668600117088,NA,NA,NA,NA,NA,1.743996,871.997999999999
3,"n_100_obs_10_obsmode_fixed_ymode_flr_square_score_gaussian_xnoise_gaussian_method_embedding",100,10,"fixed","flr_square","gaussian","gaussian","embedding",500,500,0.730402091093041,0.162875535218462,NA,NA,NA,NA,NA,1.795812,897.906000000001
5,"n_100_obs_10_obsmode_fixed_ymode_flr_cube_score_gaussian_xnoise_gaussian_method_embedding",100,10,"fixed","flr_cube","gaussian","gaussian","embedding",500,500,0.818344580425363,0.175318377179327,NA,NA,NA,NA,NA,1.662966,831.483000000001
2,"n_100_obs_10_obsmode_random_ymode_flr_linear_score_gaussian_xnoise_gaussian_method_embedding",100,10,"random","flr_linear","gaussian","gaussian","embedding",500,500,0.351029553507249,0.0452867867614917,NA,NA,NA,NA,NA,2.172086,1086.043
4,"n_100_obs_10_obsmode_random_ymode_flr_square_score_gaussian_xnoise_gaussian_method_embedding",100,10,"random","flr_square","gaussian","gaussian","embedding",500,500,0.718061104063752,0.180147727438193,NA,NA,NA,NA,NA,2.158214,1079.107
6,"n_100_obs_10_obsmode_random_ymode_flr_cube_score_gaussian_xnoise_gaussian_method_embedding",100,10,"random","flr_cube","gaussian","gaussian","embedding",500,500,0.793726107236233,0.207915387083877,NA,NA,NA,NA,NA,2.045966,1022.983
7,"n_100_obs_10_obsmode_fixed_ymode_flr_linear_score_laplace_xnoise_gaussian_method_embedding",100,10,"fixed","flr_linear","laplace","gaussian","embedding",500,500,0.40588098597018,0.0581796850039755,NA,NA,NA,NA,NA,1.735758,867.879000000001
9,"n_100_obs_10_obsmode_fixed_ymode_flr_square_score_laplace_xnoise_gaussian_method_embedding",100,10,"fixed","flr_square","laplace","gaussian","embedding",500,500,2.26170305955411,2.7718372671244,NA,NA,NA,NA,NA,1.74669,873.345
11,"n_100_obs_10_obsmode_fixed_ymode_flr_cube_score_laplace_xnoise_gaussian_method_embedding",100,10,"fixed","flr_cube","laplace","gaussian","embedding",500,500,2.46699192890881,3.13372283149678,NA,NA,NA,NA,NA,1.70033,850.165
13,"n_100_obs_10_obsmode_fixed_ymode_flr_linear_score_t5_xnoise_gaussian_method_embedding",100,10,"fixed","flr_linear","t5","gaussian","embedding",500,500,0.362637464632764,0.0527924218682175,NA,NA,NA,NA,NA,1.712876,856.438
8,"n_100_obs_10_obsmode_random_ymode_flr_linear_score_laplace_xnoise_gaussian_method_embedding",100,10,"random","flr_linear","laplace","gaussian","embedding",500,500,0.394211942166526,0.0696544686496318,NA,NA,NA,NA,NA,2.154574,1077.287
12,"n_100_obs_10_obsmode_random_ymode_flr_cube_score_laplace_xnoise_gaussian_method_embedding",100,10,"random","flr_cube","laplace","gaussian","embedding",500,500,2.53110003347769,3.40813171950924,NA,NA,NA,NA,NA,2.120054,1060.027
10,"n_100_obs_10_obsmode_random_ymode_flr_square_score_laplace_xnoise_gaussian_method_embedding",100,10,"random","flr_square","laplace","gaussian","embedding",500,500,2.42332969509551,3.46930314636964,NA,NA,NA,NA,NA,2.238456,1119.228
15,"n_100_obs_10_obsmode_fixed_ymode_flr_square_score_t5_xnoise_gaussian_method_embedding",100,10,"fixed","flr_square","t5","gaussian","embedding",500,500,3.52508813160021,33.1945267159826,NA,NA,NA,NA,NA,1.69136,845.68
17,"n_100_obs_10_obsmode_fixed_ymode_flr_cube_score_t5_xnoise_gaussian_method_embedding",100,10,"fixed","flr_cube","t5","gaussian","embedding",500,500,3.82042565036252,37.808602235458,NA,NA,NA,NA,NA,1.718324,859.162
14,"n_100_obs_10_obsmode_random_ymode_flr_linear_score_t5_xnoise_gaussian_method_embedding",100,10,"random","flr_linear","t5","gaussian","embedding",500,500,0.363585725050758,0.0656033967519205,NA,NA,NA,NA,NA,2.028958,1014.479
19,"n_100_obs_10_obsmode_fixed_ymode_flr_linear_score_gamma_xnoise_gaussian_method_embedding",100,10,"fixed","flr_linear","gamma","gaussian","embedding",500,500,0.347002026796498,0.0433632676375485,NA,NA,NA,NA,NA,1.60975,804.875000000001
16,"n_100_obs_10_obsmode_random_ymode_flr_square_score_t5_xnoise_gaussian_method_embedding",100,10,"random","flr_square","t5","gaussian","embedding",500,500,3.28068115413535,13.7419903847621,NA,NA,NA,NA,NA,2.135824,1067.912
18,"n_100_obs_10_obsmode_random_ymode_flr_cube_score_t5_xnoise_gaussian_method_embedding",100,10,"random","flr_cube","t5","gaussian","embedding",500,500,3.23331368379543,11.7119015625556,NA,NA,NA,NA,NA,2.140886,1070.443
21,"n_100_obs_10_obsmode_fixed_ymode_flr_square_score_gamma_xnoise_gaussian_method_embedding",100,10,"fixed","flr_square","gamma","gaussian","embedding",500,500,0.975140247581402,0.813392836911914,NA,NA,NA,NA,NA,1.731344,865.671999999999
20,"n_100_obs_10_obsmode_random_ymode_flr_linear_score_gamma_xnoise_gaussian_method_embedding",100,10,"random","flr_linear","gamma","gaussian","embedding",500,500,0.352764377439488,0.051961299049596,NA,NA,NA,NA,NA,2.139322,1069.661
25,"n_100_obs_10_obsmode_fixed_ymode_flr_linear_score_gaussian_xnoise_t3_method_embedding",100,10,"fixed","flr_linear","gaussian","t3","embedding",500,500,0.580125785722571,0.0729779968001879,NA,NA,NA,NA,NA,1.65382,826.91
23,"n_100_obs_10_obsmode_fixed_ymode_flr_cube_score_gamma_xnoise_gaussian_method_embedding",100,10,"fixed","flr_cube","gamma","gaussian","embedding",500,500,1.19452157237633,1.05059970898716,NA,NA,NA,NA,NA,1.701852,850.926
27,"n_100_obs_10_obsmode_fixed_ymode_flr_square_score_gaussian_xnoise_t3_method_embedding",100,10,"fixed","flr_square","gaussian","t3","embedding",500,500,1.60796846609852,0.437318563793076,NA,NA,NA,NA,NA,1.768322,884.161
22,"n_100_obs_10_obsmode_random_ymode_flr_square_score_gamma_xnoise_gaussian_method_embedding",100,10,"random","flr_square","gamma","gaussian","embedding",500,500,1.05275444578098,0.834671397992079,NA,NA,NA,NA,NA,2.19624,1098.12
24,"n_100_obs_10_obsmode_random_ymode_flr_cube_score_gamma_xnoise_gaussian_method_embedding",100,10,"random","flr_cube","gamma","gaussian","embedding",500,500,1.32166050453789,1.08857090642135,NA,NA,NA,NA,NA,2.141242,1070.621
26,"n_100_obs_10_obsmode_random_ymode_flr_linear_score_gaussian_xnoise_t3_method_embedding",100,10,"random","flr_linear","gaussian","t3","embedding",500,500,0.537200155945085,0.0738541720742318,NA,NA,NA,NA,NA,2.22312,1111.56
29,"n_100_obs_10_obsmode_fixed_ymode_flr_cube_score_gaussian_xnoise_t3_method_embedding",100,10,"fixed","flr_cube","gaussian","t3","embedding",500,500,1.92825399145565,0.502123206068872,NA,NA,NA,NA,NA,1.701798,850.899
31,"n_100_obs_10_obsmode_fixed_ymode_flr_linear_score_laplace_xnoise_t3_method_embedding",100,10,"fixed","flr_linear","laplace","t3","embedding",500,500,0.661837518720634,0.0963344088351139,NA,NA,NA,NA,NA,1.59003,795.015000000001
28,"n_100_obs_10_obsmode_random_ymode_flr_square_score_gaussian_xnoise_t3_method_embedding",100,10,"random","flr_square","gaussian","t3","embedding",500,500,1.50364483094387,0.375433103090645,NA,NA,NA,NA,NA,2.121804,1060.902
30,"n_100_obs_10_obsmode_random_ymode_flr_cube_score_gaussian_xnoise_t3_method_embedding",100,10,"random","flr_cube","gaussian","t3","embedding",500,500,1.78437173366682,0.45109731204569,NA,NA,NA,NA,NA,2.127274,1063.637
35,"n_100_obs_10_obsmode_fixed_ymode_flr_cube_score_laplace_xnoise_t3_method_embedding",100,10,"fixed","flr_cube","laplace","t3","embedding",500,500,4.67026120484931,3.36251370705999,NA,NA,NA,NA,NA,1.699438,849.719000000001
33,"n_100_obs_10_obsmode_fixed_ymode_flr_square_score_laplace_xnoise_t3_method_embedding",100,10,"fixed","flr_square","laplace","t3","embedding",500,500,4.31170987176592,3.55878745850659,NA,NA,NA,NA,NA,1.8177,908.849999999999
32,"n_100_obs_10_obsmode_random_ymode_flr_linear_score_laplace_xnoise_t3_method_embedding",100,10,"random","flr_linear","laplace","t3","embedding",500,500,0.6119814889379,0.106572791378181,NA,NA,NA,NA,NA,2.101464,1050.732
34,"n_100_obs_10_obsmode_random_ymode_flr_square_score_laplace_xnoise_t3_method_embedding",100,10,"random","flr_square","laplace","t3","embedding",500,500,4.63867737418957,3.79645620340571,NA,NA,NA,NA,NA,2.147402,1073.701
37,"n_100_obs_10_obsmode_fixed_ymode_flr_linear_score_t5_xnoise_t3_method_embedding",100,10,"fixed","flr_linear","t5","t3","embedding",500,500,0.597762469098404,0.0896955112731655,NA,NA,NA,NA,NA,1.709182,854.591
36,"n_100_obs_10_obsmode_random_ymode_flr_cube_score_laplace_xnoise_t3_method_embedding",100,10,"random","flr_cube","laplace","t3","embedding",500,500,4.98073946448014,3.95199892043367,NA,NA,NA,NA,NA,2.17542,1087.71
