"task_id","run_tag","n","obs_count","obs_count_mode","y_mode","score_dist","x_noise_dist","method","n_reps","n_success","mean_pred_mse","sd_pred_mse","u_min","u_q25","u_median","u_q75","u_max","mean_runtime_seconds","total_runtime_seconds"
13,"n_50_obs_10_obsmode_fixed_ymode_flr_cube_score_gaussian_xnoise_gaussian_method_embedding",50,10,"fixed","flr_cube","gaussian","gaussian","embedding",200,200,0.860732183732725,0.278798739804123,NA,NA,NA,NA,NA,0.794660000000001,158.932
19,"n_50_obs_10_obsmode_fixed_ymode_flr_linear_score_gaussian_xnoise_t3_method_embedding",50,10,"fixed","flr_linear","gaussian","t3","embedding",200,200,0.610238170971351,0.103623028322332,NA,NA,NA,NA,NA,0.801835,160.367
7,"n_50_obs_10_obsmode_fixed_ymode_flr_square_score_gaussian_xnoise_gaussian_method_embedding",50,10,"fixed","flr_square","gaussian","gaussian","embedding",200,200,0.782132366220326,0.265734784026583,NA,NA,NA,NA,NA,0.825959999999999,165.192
1,"n_50_obs_10_obsmode_fixed_ymode_flr_linear_score_gaussian_xnoise_gaussian_method_embedding",50,10,"fixed","flr_linear","gaussian","gaussian","embedding",200,200,0.361498816821408,0.0578301094569752,NA,NA,NA,NA,NA,0.831419999999999,166.284
31,"n_50_obs_10_obsmode_fixed_ymode_flr_cube_score_gaussian_xnoise_t3_method_embedding",50,10,"fixed","flr_cube","gaussian","t3","embedding",200,200,2.11710224474772,0.959742193597718,NA,NA,NA,NA,NA,0.87525,175.05
25,"n_50_obs_10_obsmode_fixed_ymode_flr_square_score_gaussian_xnoise_t3_method_embedding",50,10,"fixed","flr_square","gaussian","t3","embedding",200,200,1.82348545344422,0.789878659180378,NA,NA,NA,NA,NA,0.873909999999999,174.782
43,"n_50_obs_10_obsmode_fixed_ymode_flr_square_score_gaussian_xnoise_gamma_method_embedding",50,10,"fixed","flr_square","gaussian","gamma","embedding",200,200,0.774352148101478,0.221362133235626,NA,NA,NA,NA,NA,0.961774999999999,192.355
49,"n_50_obs_10_obsmode_fixed_ymode_flr_cube_score_gaussian_xnoise_gamma_method_embedding",50,10,"fixed","flr_cube","gaussian","gamma","embedding",200,200,0.863805155028548,0.231106070742555,NA,NA,NA,NA,NA,0.96828,193.656
37,"n_50_obs_10_obsmode_fixed_ymode_flr_linear_score_gaussian_xnoise_gamma_method_embedding",50,10,"fixed","flr_linear","gaussian","gamma","embedding",200,200,0.361561378826351,0.061054919044832,NA,NA,NA,NA,NA,1.065585,213.117
39,"n_50_obs_30_obsmode_fixed_ymode_flr_linear_score_gaussian_xnoise_gamma_method_embedding",50,30,"fixed","flr_linear","gaussian","gamma","embedding",200,200,0.309603975879659,0.0497936514997557,NA,NA,NA,NA,NA,1.92286,384.572
15,"n_50_obs_30_obsmode_fixed_ymode_flr_cube_score_gaussian_xnoise_gaussian_method_embedding",50,30,"fixed","flr_cube","gaussian","gaussian","embedding",200,200,0.607230256464338,0.185932878424736,NA,NA,NA,NA,NA,2.362915,472.583
9,"n_50_obs_30_obsmode_fixed_ymode_flr_square_score_gaussian_xnoise_gaussian_method_embedding",50,30,"fixed","flr_square","gaussian","gaussian","embedding",200,200,0.571124380286704,0.171944211716218,NA,NA,NA,NA,NA,2.38459,476.918
3,"n_50_obs_30_obsmode_fixed_ymode_flr_linear_score_gaussian_xnoise_gaussian_method_embedding",50,30,"fixed","flr_linear","gaussian","gaussian","embedding",200,200,0.310651486285173,0.0486424268725368,NA,NA,NA,NA,NA,2.464555,492.911
27,"n_50_obs_30_obsmode_fixed_ymode_flr_square_score_gaussian_xnoise_t3_method_embedding",50,30,"fixed","flr_square","gaussian","t3","embedding",200,200,1.05961598176855,0.484316194572161,NA,NA,NA,NA,NA,2.479815,495.963
