"task_id","run_tag","n","obs_count","obs_count_mode","y_mode","score_dist","x_noise_dist","method","n_reps","n_success","mean_pred_mse","sd_pred_mse","u_min","u_q25","u_median","u_q75","u_max","mean_runtime_seconds","total_runtime_seconds"
9,"n_50_obs_30_obsmode_fixed_ymode_flr_cube_score_gaussian_xnoise_gaussian_method_pace_rkhs",50,30,"fixed","flr_cube","gaussian","gaussian","pace_rkhs",50,50,0.762347732598597,0.393204275168145,-2.2818866920542,-0.039027933213198,0.51410950631436,1.63039733113663,12.8488927752833,8.63396,431.698
13,"n_50_obs_30_obsmode_fixed_ymode_flr_linear_score_gaussian_xnoise_t3_method_pace_rkhs",50,30,"fixed","flr_linear","gaussian","t3","pace_rkhs",50,50,0.485450717234948,0.114564796914305,-3.10705904217147,-0.683340098941871,0.00809832310220412,0.716482516697747,2.67855790527235,9.33868,466.934
5,"n_50_obs_30_obsmode_fixed_ymode_flr_square_score_gaussian_xnoise_gaussian_method_pace_rkhs",50,30,"fixed","flr_square","gaussian","gaussian","pace_rkhs",50,50,0.72116171530713,0.34482414930822,-1.43580287235295,0.192100695341053,0.636753449966731,1.53001946759791,10.9505735412818,11.48744,574.372
17,"n_50_obs_30_obsmode_fixed_ymode_flr_square_score_gaussian_xnoise_t3_method_pace_rkhs",50,30,"fixed","flr_square","gaussian","t3","pace_rkhs",50,50,1.41462014286787,0.741366133228993,-1.33725776873108,0.331316747546421,0.791307213881545,1.5712837233286,8.85218486047625,8.81666,440.833
21,"n_50_obs_30_obsmode_fixed_ymode_flr_cube_score_gaussian_xnoise_t3_method_pace_rkhs",50,30,"fixed","flr_cube","gaussian","t3","pace_rkhs",50,50,1.6100311101117,0.659666573774531,-3.28763220099596,0.0984998705352746,0.641171354543642,1.70370340906299,11.9268613210913,9.08452,454.226
1,"n_50_obs_30_obsmode_fixed_ymode_flr_linear_score_gaussian_xnoise_gaussian_method_pace_rkhs",50,30,"fixed","flr_linear","gaussian","gaussian","pace_rkhs",50,50,0.370979441688752,0.0890119100022606,-2.88187205908324,-0.701831685200221,0.0278885299475015,0.743974670985571,2.70186980989347,17.65152,882.576
10,"n_100_obs_30_obsmode_fixed_ymode_flr_cube_score_gaussian_xnoise_gaussian_method_pace_rkhs",100,30,"fixed","flr_cube","gaussian","gaussian","pace_rkhs",50,50,0.570998819041271,0.165939240907301,-1.3449264278316,-0.0682935735710241,0.431113592256582,1.53235482129813,17.2433460707691,20.80972,1040.486
25,"n_50_obs_30_obsmode_fixed_ymode_flr_linear_score_gaussian_xnoise_gamma_method_pace_rkhs",50,30,"fixed","flr_linear","gaussian","gamma","pace_rkhs",50,50,0.3900630495771,0.10933441885338,-2.92817405779198,-0.708438162059859,0.0341511582419559,0.743387783604856,2.63668987150915,10.21908,510.954
14,"n_100_obs_30_obsmode_fixed_ymode_flr_linear_score_gaussian_xnoise_t3_method_pace_rkhs",100,30,"fixed","flr_linear","gaussian","t3","pace_rkhs",50,50,0.470558972916089,0.0547470925804299,-3.21601887051502,-0.662504142900358,0.00914407315864674,0.6896933211983,3.12506706862326,22.33006,1116.503
29,"n_50_obs_30_obsmode_fixed_ymode_flr_square_score_gaussian_xnoise_gamma_method_pace_rkhs",50,30,"fixed","flr_square","gaussian","gamma","pace_rkhs",50,50,0.739379110727149,0.347179574544382,-1.3870917508683,0.178129138360803,0.673708692937265,1.5397346110828,7.76660995761575,8.96108,448.054
