"task_id","run_tag","n","obs_count","obs_count_mode","y_mode","score_dist","x_noise_dist","method","n_reps","n_success","mean_pred_mse","sd_pred_mse","u_min","u_q25","u_median","u_q75","u_max","mean_runtime_seconds","total_runtime_seconds"
13,"n_100_obs_10_obsmode_fixed_ymode_flr_linear_score_t5_xnoise_gaussian_method_plugin",100,10,"fixed","flr_linear","t5","gaussian","plugin",50,50,1.33925981868772,0.181648856045347,0,0,0,0,0,301.44896,15072.448
22,"n_100_obs_10_obsmode_random_ymode_flr_square_score_gamma_xnoise_gaussian_method_plugin",100,10,"random","flr_square","gamma","gaussian","plugin",50,50,6.51416761032195,3.41221075046263,0,0,0,0,0,394.85452,19742.726
23,"n_100_obs_10_obsmode_fixed_ymode_flr_cube_score_gamma_xnoise_gaussian_method_plugin",100,10,"fixed","flr_cube","gamma","gaussian","plugin",50,50,10.4300063749021,5.69413419410565,0,0,0,0,0,247.07124,12353.562
20,"n_100_obs_10_obsmode_random_ymode_flr_linear_score_gamma_xnoise_gaussian_method_plugin",100,10,"random","flr_linear","gamma","gaussian","plugin",50,50,1.32336633629834,0.163986117310729,0,0,0,0,0,487.01592,24350.796
24,"n_100_obs_10_obsmode_random_ymode_flr_cube_score_gamma_xnoise_gaussian_method_plugin",100,10,"random","flr_cube","gamma","gaussian","plugin",50,50,10.5673242317803,4.90473243876102,0,0,0,0,0,410.83568,20541.784
21,"n_100_obs_10_obsmode_fixed_ymode_flr_square_score_gamma_xnoise_gaussian_method_plugin",100,10,"fixed","flr_square","gamma","gaussian","plugin",50,50,6.54488995094511,4.09991775713198,0,0,0,0,0,204.65408,10232.704
15,"n_100_obs_10_obsmode_fixed_ymode_flr_square_score_t5_xnoise_gaussian_method_plugin",100,10,"fixed","flr_square","t5","gaussian","plugin",50,50,7.95846143241968,5.95587814168513,0,0,0,0,0,265.35024,13267.512
17,"n_100_obs_10_obsmode_fixed_ymode_flr_cube_score_t5_xnoise_gaussian_method_plugin",100,10,"fixed","flr_cube","t5","gaussian","plugin",50,50,8.70399516814718,5.2387920271055,0,0,0,0,0,281.18124,14059.062
25,"n_100_obs_10_obsmode_fixed_ymode_flr_linear_score_gaussian_xnoise_t3_method_plugin",100,10,"fixed","flr_linear","gaussian","t3","plugin",50,50,1.31855292127866,0.130380288427132,0,0,0,0,0,275.60012,13780.006
27,"n_100_obs_10_obsmode_fixed_ymode_flr_square_score_gaussian_xnoise_t3_method_plugin",100,10,"fixed","flr_square","gaussian","t3","plugin",50,50,3.60734707555391,0.760656620786743,0,0,0,0,0,265.22924,13261.462
