"task_id","run_tag","n","obs_count","obs_count_mode","y_mode","score_dist","x_noise_dist","method","n_reps","n_success","mean_pred_mse","sd_pred_mse","u_min","u_q25","u_median","u_q75","u_max","mean_runtime_seconds","total_runtime_seconds"
1,"n_50_obs_10_obsmode_fixed_ymode_flr_linear_score_gaussian_xnoise_gaussian_method_plugin",50,10,"fixed","flr_linear","gaussian","gaussian","plugin",50,50,1.32999009144136,0.16355664818535,0,0,0,0,0,251.17436,12558.718
7,"n_50_obs_10_obsmode_fixed_ymode_flr_square_score_gaussian_xnoise_gaussian_method_plugin",50,10,"fixed","flr_square","gaussian","gaussian","plugin",50,50,3.54052124245091,0.957525333440583,0,0,0,0,0,209.98194,10499.097
8,"n_100_obs_10_obsmode_fixed_ymode_flr_square_score_gaussian_xnoise_gaussian_method_plugin",100,10,"fixed","flr_square","gaussian","gaussian","plugin",50,50,3.51059232402303,0.759353863578771,0,0,0,0,0,420.93646,21046.823
13,"n_50_obs_10_obsmode_fixed_ymode_flr_cube_score_gaussian_xnoise_gaussian_method_plugin",50,10,"fixed","flr_cube","gaussian","gaussian","plugin",50,50,4.68760339669713,1.47828176690879,0,0,0,0,0,227.03636,11351.818
14,"n_100_obs_10_obsmode_fixed_ymode_flr_cube_score_gaussian_xnoise_gaussian_method_plugin",100,10,"fixed","flr_cube","gaussian","gaussian","plugin",50,50,4.57324538912418,1.0844670528816,0,0,0,0,0,343.4662,17173.31
19,"n_50_obs_10_obsmode_fixed_ymode_flr_linear_score_gaussian_xnoise_t3_method_plugin",50,10,"fixed","flr_linear","gaussian","t3","plugin",50,50,1.31886759893381,0.208004435755216,0,0,0,0,0,240.62286,12031.143
25,"n_50_obs_10_obsmode_fixed_ymode_flr_square_score_gaussian_xnoise_t3_method_plugin",50,10,"fixed","flr_square","gaussian","t3","plugin",50,50,3.6394795967944,1.03393967348619,0,0,0,0,0,225.47212,11273.606
2,"n_100_obs_10_obsmode_fixed_ymode_flr_linear_score_gaussian_xnoise_gaussian_method_plugin",100,10,"fixed","flr_linear","gaussian","gaussian","plugin",50,50,1.29877201185352,0.128220816730349,0,0,0,0,0,502.70352,25135.176
31,"n_50_obs_10_obsmode_fixed_ymode_flr_cube_score_gaussian_xnoise_t3_method_plugin",50,10,"fixed","flr_cube","gaussian","t3","plugin",50,50,4.59849656153539,1.53105263959347,0,0,0,0,0,262.72112,13136.056
26,"n_100_obs_10_obsmode_fixed_ymode_flr_square_score_gaussian_xnoise_t3_method_plugin",100,10,"fixed","flr_square","gaussian","t3","plugin",50,50,3.60734707555391,0.760656620786743,0,0,0,0,0,435.93802,21796.901
37,"n_50_obs_10_obsmode_fixed_ymode_flr_linear_score_gaussian_xnoise_gamma_method_plugin",50,10,"fixed","flr_linear","gaussian","gamma","plugin",50,50,1.27543734258042,0.163129047201828,0,0,0,0,0,169.61562,8480.781
38,"n_100_obs_10_obsmode_fixed_ymode_flr_linear_score_gaussian_xnoise_gamma_method_plugin",100,10,"fixed","flr_linear","gaussian","gamma","plugin",50,50,1.33371163650174,0.131010988439714,0,0,0,0,0,356.02966,17801.483
32,"n_100_obs_10_obsmode_fixed_ymode_flr_cube_score_gaussian_xnoise_t3_method_plugin",100,10,"fixed","flr_cube","gaussian","t3","plugin",50,50,4.64281779060117,0.985750158010357,0,0,0,0,0,432.91734,21645.867
49,"n_50_obs_10_obsmode_fixed_ymode_flr_cube_score_gaussian_xnoise_gamma_method_plugin",50,10,"fixed","flr_cube","gaussian","gamma","plugin",50,50,4.64324861050989,1.29534767607317,0,0,0,0,0,220.4805,11024.025
44,"n_100_obs_10_obsmode_fixed_ymode_flr_square_score_gaussian_xnoise_gamma_method_plugin",100,10,"fixed","flr_square","gaussian","gamma","plugin",50,50,3.76432057018676,0.760914100357263,0,0,0,0,0,348.30564,17415.282
43,"n_50_obs_10_obsmode_fixed_ymode_flr_square_score_gaussian_xnoise_gamma_method_plugin",50,10,"fixed","flr_square","gaussian","gamma","plugin",50,50,3.47488830026978,1.17510940695513,0,0,0,0,0,170.62244,8531.122
50,"n_100_obs_10_obsmode_fixed_ymode_flr_cube_score_gaussian_xnoise_gamma_method_plugin",100,10,"fixed","flr_cube","gaussian","gamma","plugin",50,50,4.91408765496292,1.03465619345593,0,0,0,0,0,433.53042,21676.521
20,"n_100_obs_10_obsmode_fixed_ymode_flr_linear_score_gaussian_xnoise_t3_method_plugin",100,10,"fixed","flr_linear","gaussian","t3","plugin",50,50,1.31855292127866,0.130380288427132,0,0,0,0,0,458.89036,22944.518
