"task_id","run_tag","n","obs_count","obs_count_mode","y_mode","score_dist","x_noise_dist","method","n_reps","n_success","mean_pred_mse","sd_pred_mse","u_min","u_q25","u_median","u_q75","u_max","mean_runtime_seconds","total_runtime_seconds"
7,"n_50_obs_10_obsmode_fixed_ymode_flr_linear_score_laplace_xnoise_gaussian_method_split_s5",50,10,"fixed","flr_linear","laplace","gaussian","split_s5",50,50,0.446577718419222,0.0658327738449064,-6.52771129455827,-0.564778159428626,0.00815212516973307,0.617095301666418,6.94250613087908,349.04334,17452.167
9,"n_50_obs_10_obsmode_fixed_ymode_flr_square_score_laplace_xnoise_gaussian_method_split_s5",50,10,"fixed","flr_square","laplace","gaussian","split_s5",50,50,12.5909090477,11.0273876504252,-10.96865463389,0.620085829112107,1.18019814773434,1.8015896457084,12.898256608231,349.50066,17475.033
15,"n_50_obs_10_obsmode_fixed_ymode_flr_square_score_t5_xnoise_gaussian_method_split_s5",50,10,"fixed","flr_square","t5","gaussian","split_s5",50,50,25.6826646424693,139.847103407913,-6.70308242075297,0.497740224420419,0.85518836789902,1.31647709604235,7.66952049702254,348.8997,17444.985
3,"n_50_obs_10_obsmode_fixed_ymode_flr_square_score_gaussian_xnoise_gaussian_method_split_s5",50,10,"fixed","flr_square","gaussian","gaussian","split_s5",50,50,2.79971208283318,0.980478851339665,-2.66064798865009,0.712258526003059,1.01246113907105,1.28852915532745,4.16741682660981,360.1078,18005.39
5,"n_50_obs_10_obsmode_fixed_ymode_flr_cube_score_gaussian_xnoise_gaussian_method_split_s5",50,10,"fixed","flr_cube","gaussian","gaussian","split_s5",50,50,2.92112188880926,1.01628931469922,-4.87483208959892,0.426017134549048,0.976816763608015,1.52998281063765,6.84264348027507,360.3811,18019.055
1,"n_50_obs_10_obsmode_fixed_ymode_flr_linear_score_gaussian_xnoise_gaussian_method_split_s5",50,10,"fixed","flr_linear","gaussian","gaussian","split_s5",50,50,0.36203787430772,0.0606539332391389,-3.70260183564515,-0.64556295230659,-0.0109655291458976,0.61058287662806,4.19003210518844,362.08172,18104.086
11,"n_50_obs_10_obsmode_fixed_ymode_flr_cube_score_laplace_xnoise_gaussian_method_split_s5",50,10,"fixed","flr_cube","laplace","gaussian","split_s5",50,50,12.8805016567274,11.0443435192026,-14.5446044390722,0.548849920006223,1.15816659862778,1.92896695083735,14.9960741997195,360.03662,18001.831
13,"n_50_obs_10_obsmode_fixed_ymode_flr_linear_score_t5_xnoise_gaussian_method_split_s5",50,10,"fixed","flr_linear","t5","gaussian","split_s5",50,50,0.380630900929839,0.060450770928434,-19.380548223822,-0.580221059594755,0.0023463893798785,0.582706376526712,5.89563867904688,359.76376,17988.188
17,"n_50_obs_10_obsmode_fixed_ymode_flr_cube_score_t5_xnoise_gaussian_method_split_s5",50,10,"fixed","flr_cube","t5","gaussian","split_s5",50,50,24.9118236897906,133.150786350913,-9.3120664692584,0.30080540343144,0.88898762928387,1.49579606551806,12.0405670038181,361.68874,18084.437
19,"n_50_obs_10_obsmode_fixed_ymode_flr_linear_score_gamma_xnoise_gaussian_method_split_s5",50,10,"fixed","flr_linear","gamma","gaussian","split_s5",50,50,0.370665583658284,0.0654910656055827,-2.78814273381033,-0.719905592199376,-0.199504794410477,0.428006839251319,7.19850483986633,370.77082,18538.541
21,"n_50_obs_10_obsmode_fixed_ymode_flr_square_score_gamma_xnoise_gaussian_method_split_s5",50,10,"fixed","flr_square","gamma","gaussian","split_s5",50,50,3.90203171229964,2.81409612095737,-5.31028866725815,0.177225057839969,0.690052456203371,1.31909122183732,13.1606716225668,348.75834,17437.917
23,"n_50_obs_10_obsmode_fixed_ymode_flr_cube_score_gamma_xnoise_gaussian_method_split_s5",50,10,"fixed","flr_cube","gamma","gaussian","split_s5",50,50,4.27159007579832,2.97586970054408,-6.66873175435113,-0.546461289184157,0.484817822119671,1.7872035854463,16.3681500002134,348.41964,17420.982
