"task_id","run_tag","n","obs_count","obs_count_mode","y_mode","score_dist","x_noise_dist","method","n_reps","n_success","mean_pred_mse","sd_pred_mse","u_min","u_q25","u_median","u_q75","u_max","mean_runtime_seconds","total_runtime_seconds"
10,"n_100_obs_10_obsmode_fixed_ymode_flr_linear_score_gamma_xnoise_gamma_method_split_s5",100,10,"fixed","flr_linear","gamma","gamma","split_s5",50,50,0.354475279943401,0.0444903568162841,-2.57301809969643,-0.663487451908153,-0.174788012256256,0.481761614162534,6.78450892023446,167.66412,8383.206
3,"n_100_obs_10_obsmode_fixed_ymode_flr_cube_score_t5_xnoise_t3_method_split_s5",100,10,"fixed","flr_cube","t5","t3","split_s5",50,50,13.2868648578925,44.6854797203739,-32.5238524626926,0.479364852706716,1.00204739732409,1.53305736763574,10.1439793922599,207.80078,10390.039
2,"n_100_obs_10_obsmode_fixed_ymode_flr_square_score_t5_xnoise_t3_method_split_s5",100,10,"fixed","flr_square","t5","t3","split_s5",50,50,12.9050309167923,44.8433435936318,-13.9802196530589,0.697431949015495,1.01898115757565,1.33417516945314,6.89757545378016,208.19568,10409.784
1,"n_100_obs_10_obsmode_fixed_ymode_flr_linear_score_t5_xnoise_t3_method_split_s5",100,10,"fixed","flr_linear","t5","t3","split_s5",50,50,0.595928644650912,0.100702588369563,-15.9146055188427,-0.498258918190301,6.3443144850666e-05,0.494375440987648,7.37965367401275,210.25708,10512.854
9,"n_100_obs_10_obsmode_fixed_ymode_flr_cube_score_t5_xnoise_gamma_method_split_s5",100,10,"fixed","flr_cube","t5","gamma","split_s5",50,50,6.31819176714885,5.02504294464651,-20.7947796504241,0.470803928525741,1.03094057059205,1.61994148179438,12.2515928840585,194.08808,9704.404
4,"n_100_obs_10_obsmode_fixed_ymode_flr_linear_score_gamma_xnoise_t3_method_split_s5",100,10,"fixed","flr_linear","gamma","t3","split_s5",50,50,0.620062016368371,0.10094014476357,-9.45839504180452,-0.552732743393184,-0.099287782980935,0.433629308665585,5.64282904656679,212.41196,10620.598
6,"n_100_obs_10_obsmode_fixed_ymode_flr_cube_score_gamma_xnoise_t3_method_split_s5",100,10,"fixed","flr_cube","gamma","t3","split_s5",50,50,6.49966151083199,3.39744068595421,-22.2874610025576,-0.225628591221947,0.725648160613929,1.93911533320201,18.6416769430514,215.8256,10791.28
7,"n_100_obs_10_obsmode_fixed_ymode_flr_linear_score_t5_xnoise_gamma_method_split_s5",100,10,"fixed","flr_linear","t5","gamma","split_s5",50,50,0.355441095277173,0.0407629336063679,-6.76832256531788,-0.537473737670261,0.0237846127531846,0.592983608454679,6.54986222300576,213.3283,10666.415
8,"n_100_obs_10_obsmode_fixed_ymode_flr_square_score_t5_xnoise_gamma_method_split_s5",100,10,"fixed","flr_square","t5","gamma","split_s5",50,50,6.18577391047497,5.01124388160695,-15.2882377430683,0.678143334572657,1.02529577982038,1.38600296370896,10.0725670437853,213.33006,10666.503
5,"n_100_obs_10_obsmode_fixed_ymode_flr_square_score_gamma_xnoise_t3_method_split_s5",100,10,"fixed","flr_square","gamma","t3","split_s5",50,50,5.04221735006265,2.93518494914461,-14.0702299121821,0.343245510685439,0.819174145633723,1.47976538661549,13.5952807609766,240.21628,12010.814
11,"n_100_obs_10_obsmode_fixed_ymode_flr_square_score_gamma_xnoise_gamma_method_split_s5",100,10,"fixed","flr_square","gamma","gamma","split_s5",50,50,3.9150961586965,1.99954981842014,-7.53283546300916,0.214053069596438,0.749815226453442,1.47632576411182,18.9772871027335,216.21508,10810.754
12,"n_100_obs_10_obsmode_fixed_ymode_flr_cube_score_gamma_xnoise_gamma_method_split_s5",100,10,"fixed","flr_cube","gamma","gamma","split_s5",50,50,4.27048361884582,2.13830800951583,-9.48919104063033,-0.456297183888501,0.565892997480793,2.00834689491812,25.0215196016064,216.52134,10826.067
